Region,Subregion,Tradition Name,OWC
Africa,Eastern Africa,Ganda,FK07
South America,Amazon and Orinoco,Tukano,SQ19
Africa,Southern Africa,Lakeshore Tonga,FR07
North America,Northwest Coast and California,Pomo,NS18
Asia,East Asia,Okinawans,AC07
North America,Northwest Coast and California,Quinault,NR17
Middle America and the Caribbean,Maya Area,Maya (Yucatán Peninsula),NV10
Asia,Southeast Asia,Mentawaians,OD09
North America,Plains and Plateau,Assiniboine,NF04
Oceania,Melanesia,Malekula,OO12
Africa,Eastern Africa,Nuer,FJ22
North America,Northwest Coast and California,Yokuts,NS29
South America,Amazon and Orinoco,Shipibo,SE26
Asia,Southeast Asia,Rungus Dusun,OC13
Africa,Southern Africa,Ovimbundu,FP13
Asia,South Asia,Bengali,AW69
Africa,Eastern Africa,Bena,FN31
Africa,Eastern Africa,Banyoro,FK11
Europe,Southeastern Europe,Greeks,EH01
Africa,Western Africa,Igbo,FF26
